internal_id,song_id,age_at_event_orig,age_at_event_cover,association_orig,association_cover,control_orig,control_cover,NaM_orig,NaM_cover,memory_orig,memory_cover,description_orig,description_cover,emot_content_orig,emot_content_cover,emot_intensity_orig,emot_intensity_cover,energetic_orig,energetic_cover,experience_orig,experience_cover,familiarity_orig,familiarity_cover,important_orig,important_cover,preference_orig,preference_cover,social_orig,social_cover,unique_orig,unique_cover,vivid_orig,vivid_cover
1,2011_4,NA,NA,I do not associate it,no association,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I think I may have heard it over the radio once or twice but never played it myself,never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2012_1,NA,NA,I do not associate with anything,2016-2020,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have heard it over streams and in meme videos but cannot recall anything specific and have not played it myself,I think I've heard it on a livestream a couple of times,a little,a little,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2012_2,NA,NA,2008-2015,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I think I have heard it on the radio and internet a few times,I have heard it a few times on livestreams and videos but have never played it myself,a little,a little,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2012_3,NA,NA,in my childhood around age 6-12,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have heard the song on radio multiple times,I have heard it a few times in videos or livestreams but never played it myself,a little,a little,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2012_4,NA,NA,I do not associate it,no association,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have never heard it,never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2012_5,NA,NA,I do not associate anything with this song,no association,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have never heard it before,never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2013_1,NA,20,no association,I do not associate it,NA,completely spontaneous,0,mem,FALSE,TRUE,NA,I was walking alone to one of my first few job interviews.,NA,neutral,NA,not at all,NA,not at all,never heard it,I have never heard it,not at all,not at all,NA,not at all,not at all,not at all,NA,not at all,NA,very,NA,not at all
1,2013_2,NA,NA,no association,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,never heard it,I have never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2013_3,NA,NA,no association,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have heard it song before but do not remember where,I have never heard it,a little,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2013_5,NA,NA,No,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,Never heard it,I have never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2013_6,NA,NA,I do not associate anything with it,no association,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have never heard it before,never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2014_1,NA,NA,no association,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have heard the song a few times before but do not remember where most likely just over the internet,I have never heard it,a little,not at all,NA,NA,not at all,a little,NA,NA,NA,NA,NA,NA
1,2014_2,NA,NA,no association,i do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,never heard it,I have never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2014_3,NA,NA,no association,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,never heard it,I have never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2014_4,NA,NA,no association,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,never heard it,I have never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2014_5,NA,NA,I do not associate it,no association,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have never heard it,never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2015_1,NA,NA,no association,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,never heard it,I have never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2015_2,NA,NA,I do not assocaite it,no association,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have never heard it,never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2015_3,NA,NA,I associate this song with the many memes that have been made with it that I have heard over the past 5 years of my life but no particular meme or memory. That is post high-school around ages 19-24.,around ages 18-22,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have heard it many times in videos and memes over the internet but outside of that I have not played it myself,I have heard it many times on the internet in many different videos and livestreams,very,somewhat,NA,NA,a little,a little,NA,NA,NA,NA,NA,NA
1,2015_4,NA,NA,I do not associate it,no association,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have never heard it,never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2015_5,NA,NA,no association,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,never heard it,I have never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2016_1,NA,NA,I do not associate it,no association,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have never heard it,never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2016_2,NA,NA,maybe my childhood age 7-14,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I think I have heard the song over the radio before,I think I have heard it on livestreams and maybe the radio a few times but memories of it are vague and I have never played it myself,not at all,a little,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2016_3,NA,NA,I do not associate it,no association,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have never heard it before,never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2016_4,NA,NA,no association,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I think I have heard it once  during a livestream,I think I have heard it on the radio before but never played it myself,a little,a little,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2016_5,9,NA,I do not associate it,no association,completely spontaneous,NA,mem,0,TRUE,FALSE,I remembered when my mother threw out my Yugioh cards because she thought they were demonic,NA,somewhat negative,NA,not at all,NA,not at all,NA,I have never heard it,never heard it,not at all,not at all,a little,NA,not at all,a little,extremely,NA,extremely,NA,not at all,NA
1,2017_1,NA,NA,I do not associate it,no association,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have heard it during livestreams a few times but never played it myself,never heard it,a little,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2017_2,21,20,I do not associate with anything in particular besides maybe the internet since many memes were made about it,2017-2020,completely spontaneous,completely spontaneous,mem,mem,TRUE,TRUE,I was sitting at home alone watching a youtube video by one of my favorite content creators when he parodied this song,One of the favorite youtubers parodied the song in a video,somewhat positive,neutral,not at all,not at all,a little,a little,I have heard it a few times over the internet but rather than listening have heard people talking about how popular it is more than actually hearing the song itself. I have not played it myself however,I have heard this song many times on the internet via videos and livestreams,a little,a little,not at all,not at all,not at all,not at all,a little,a little,very,somewhat,not at all,a little
1,2017_3,10,NA,I do not associate it,no association,completely spontaneous,NA,mem,0,TRUE,FALSE,I remembered when I was at a pool party with my family and one of my relatives drank wine from an over the top wine glass,NA,neutral,NA,not at all,NA,not at all,NA,I have never heard it,never heard it,not at all,not at all,not at all,NA,not at all,not at all,extremely,NA,extremely,NA,not at all,NA
1,2017_4,NA,NA,no association,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,never heard it,I have never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2017_5,NA,NA,I do not associate it,no association,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have never heard it,never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2018_1,NA,NA,no association,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,never heard it,I have never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2018_2,NA,17,I do not associate it,no association,NA,completely spontaneous,0,mem,FALSE,TRUE,NA,Private,NA,neutral,NA,a little,NA,a little,I have never heard it,never heard it,not at all,not at all,NA,extremely,not at all,not at all,NA,not at all,NA,very,NA,somewhat
1,2018_3,NA,NA,no association,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,never heard it,I have never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2018_4,NA,NA,in my childhood around ages 6-14,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I think I have heard the song on radio multiple times,I have never heard it,a little,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2018_5,NA,9,no association,I do not associate it with anything,NA,completely spontaneous,0,mem,FALSE,TRUE,NA,I was at a fireworks festival when I smelled something bad and my mother said it was probably people smoking weed,NA,very negative,NA,not at all,NA,not at all,never heard it,I have never heard it before,not at all,not at all,NA,not at all,not at all,not at all,NA,a little,NA,extremely,NA,not at all
1,2019_1,19,NA,late teenhood around ages 17-20,I do not associate it,somewhat spontaneous,NA,mem,0,TRUE,FALSE,A memory of me watching a video game lifestream came to mind,NA,somewhat positive,NA,not at all,NA,a little,NA,No personal association but have heard the song multiple times over the internet,I think I have heard the song on the internet but cannot recall where and have not played it myself,somewhat,a little,not at all,NA,a little,not at all,a little,NA,not at all,NA,not at all,NA
1,2019_2,NA,NA,I do not associate it,no association,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have never heard it,never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2019_3,NA,NA,I do not associate it,no association,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I have never heard it,never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
1,2019_4,NA,NA,no association,I do not associate it,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,never heard it,I have never heard it,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
2,2008_2,17,17,It is an old song but I associate it with end of high school at 17.,Mostly end of high school is when I picked the song up. 17.,completely spontaneous,somewhat spontaneous,mem,mem,TRUE,TRUE,I put this song on in the middle of our high school math class during senior year.,Remember putting this on in my math class in high school.,neutral,neutral,not at all,not at all,not at all,a little,I think it is an ok older song that I listened to for a little bit in 2015. I listened for maybe a month several times during then. I think it is Keep Bleeding but I can't even remember the artist now.,"Keep Bleeding, although I don't know the artist. I remember listening occasionally since I knew it was a throwback song, but never really listened a lot. Can't say how often I listened.",somewhat,a little,not at all,not at all,a little,a little,extremely,very,a little,somewhat,very,a little
2,2008_3,NA,NA,I don't know the song so I don't know for this question.,I dont know this song whatsoever,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"I truly don't know the song here, and I don't even know the artist. I think I've heard it, but I don't know when I heard it.",No experience with it whatsoever,not at all,not at all,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
2,2009_2,NA,NA,Mostly elementary to middle school. 9-11.,I can't really remember what period this is in but I think middle school maybe elementary school. 10-12?,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"I listened because my father put it on the radio or put it on his computer. So I had to listen to Poker Face by Lady Gaga, but I was never really a fan and only listened when I had to.",My dad also used to put on Poker Face occasionally but just in the background so unsure how often. This was probably 2010-2012,somewhat,somewhat,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
2,2009_3,NA,NA,Mostly with earlier middle school I believe. 11-12,I believe I was in the latter half of elementary school so 8-10,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"I didn't really like Just Dance by Lady Gaga. Although I never liked many of her songs. My father liked her music so sometimes I would listen to it through him or when it was on the radio. However, I never played it in my personal playlists. This was probably around 2010-2012.","My dad used to love this song, so I wouldn't listen but he would put it on in the house every now and then (once a week) when it first came out for several months (I believe 2009). I do know it's Lady Gaga Just Dance, but I never listen on my own.",somewhat,somewhat,NA,NA,a little,a little,NA,NA,NA,NA,NA,NA
2,2010_1,17,17,This was mostly high school 14-18.,15-17,somewhat spontaneous,somewhat deliberate,mem,mem,TRUE,TRUE,I was singing this song in the prom bus on the way to prom.,I was singing this song on the Prom Bus when they were playing throwback songs on our way to our prom.,somewhat positive,somewhat positive,somewhat,somewhat,very,extremely,"Definitely listened to it a bunch when it first came out, and in 2012 I believe it was I listened a couple times a week for a couple months. However, it slowed down very much after that and I haven't heard it in a long time now. Tik Tok Kesha.","Tik Tok by Kesha was a classic and my dad also used to put it on. I listened to it on a throwback playlist for some time in 2014, but I didn't like it very much so I only played every now and then.",somewhat,somewhat,somewhat,somewhat,somewhat,a little,extremely,extremely,extremely,extremely,somewhat,somewhat
2,2010_2,NA,NA,No age range pops into mind and I don't know the song very well,I don't even know the name of this song or the artist.,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I don't know it very well but I'm sure I heard it on the radio. I'll need to look it up after.,"I don't know this song personally but I have heard it before. I can't put my finger on when I heard it, but I believe it was occasionally on the radio.",a little,not at all,NA,NA,a little,a little,NA,NA,NA,NA,NA,NA
2,2010_3,NA,NA,End of high school. 16-18.,15-20,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Hey Soul Sister - Train. A good song, that I spent a lot of time listening to while studying late at night. Was part of the playlist and listened several times a week if not day for months in 2014.",This was another one of those throwback songs that made it onto the playlist for long term listening but I didn't like it as much when I first heard it. I listened to it maybe a couple times a week for several years from 2013-2017,very,extremely,NA,NA,love it!,a lot,NA,NA,NA,NA,NA,NA
2,2011_1,18,NA,This was mostly high school and college. 17-20.,Mostly end of high school 17-18.,somewhat spontaneous,NA,mem,0,TRUE,FALSE,I was listening to this song in the basement of our dorm in Freshman year and we were playing a song guessing game,NA,very positive,NA,somewhat,NA,extremely,NA,I listened to it every now and then maybe once a week for several years from 2014-2017 but mostly liked listening with my friends when they would put it on for our song guessing games.,"I listened to this song back in 2014, and really loved it. Rolling in the Deep - Adele. It was a great song to study to and I listened multiple times a day at first, although this dropped to multiple times a week quickly. Part of the main playlist and one of the greats.",extremely,very,very,NA,a lot,love it!,extremely,NA,somewhat,NA,somewhat,NA
2,2011_2,NA,NA,Maybe the beginning to end of high school. 14-18,I believe I was 15-16 when I heard it and associate it with parties in high school,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I didn't like this song at all. Party Rock - LMFAO seemed like a bad song to me. Still don't like it. Only listened if it was on the radio and I didn't feel like switching away.,I listened to it during parties but not on my own because I don't like the song. LMFAO Party rock is an acquired taste I'm sure.,a little,somewhat,NA,NA,not at all,not at all,NA,NA,NA,NA,NA,NA
2,2011_3,16,16,14-18,Mostly high school time to beginning of college 14-20.,somewhat spontaneous,completely spontaneous,mem,mem,TRUE,TRUE,My friends were talking about some movie that they described as them having Seth Rogan and going to North Korea and this song played in the background.,My friends were quoting the song for some reason at the very beginning because they had just seen the movie about North Korea.,neutral,somewhat positive,not at all,a little,a little,very,Firework by Katy Perry is a classic but I really started listening to her more in 2014 when I listened to throwback playlists. I listened maybe a few times a month in 2014 so not super often.,"katy perry - Firework was a classic back from 2009 I think. It became popular again with our group in high school, and I listened a lot on my own in my personal playlist. Maybe a few times a month for years.",somewhat,very,not at all,a little,somewhat,a lot,somewhat,very,a little,very,not at all,somewhat
2,2011_4,NA,NA,I was much older when listening to it so really like med school and during older age 23-24,Really started listening in graduate school from like 22-24.,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,I listened to the remix with industry baby a lot and was part of my workout playlist back in 2022. ET by Katy Perry itself I listened to significantly less.,I heard it way back when. I think this is ET by Katy Perry. Sounded so weird in this recording but I did listen to some remixes of this in graduate school. Maybe had it on once or twice a week for like a month. Stopped after a while since it was just ok.,somewhat,somewhat,NA,NA,somewhat,a little,NA,NA,NA,NA,NA,NA
2,2012_1,16,NA,15-18. Mostly during high school in the car,End of high school perhaps. 16-18.,completely spontaneous,NA,mem,0,TRUE,FALSE,I was listening to this song in the car with my friend Kevin and he was telling me how he liked this song.,NA,somewhat positive,NA,a little,NA,somewhat,NA,"I listened to it a lot at home on my personal playlist in high school, and also in the car with my friends during that time","Gotye - Somebody That I used to Know. Was a cool song, but not really my cup of tea. I did listen to the remix by PTX, but even that didn't last very long. Maybe listened on the radio and listened to the PTX version a couple times a week for a month in 2014.",very,somewhat,not at all,NA,love it!,somewhat,somewhat,NA,not at all,NA,somewhat,NA
2,2012_2,17,NA,Mostly high school time 14-18.,This was mostly during high school and partially into college 15-20,somewhat spontaneous,NA,mem,0,TRUE,FALSE,I remember listening to this song with my high school friends at some point during senior year but I can't remember what we were doing.,NA,neutral,NA,not at all,NA,somewhat,NA,"Call me Maybe was a classic back in 2012 I think. I loved the song as a meme. But, I never really listened to it as part of a playlist until 2014. Put it on a throwback playlist and loved it. Listened maybe once or twice a week for about a couple months.","I listened some when it first came out in 2012, but I didn't enjoy it very much back then. In 2015-2017, I listened as a throwback playlist and enjoyed it more with my college friends. Listened maybe once a week during those years.",very,extremely,not at all,NA,a lot,somewhat,somewhat,NA,a little,NA,not at all,NA
2,2012_3,NA,NA,Associated more with high school I believe. So for me ages 14-16,2013-2015 for me so high school time. I was 16-18. NO particular place,NA,NA,0,0,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"I heard it on the radio a while ago, likely back in middle school. I know it's We are Young by FUN but I didn't listen very often. I did enjoy it somewhat but didn't go out of my way to listen.",I used to listen to this song albeit infrequently. I just heard it on the radio but never sought it out back in 2013. We are young by FUN I believe.,somewhat,somewhat,NA,NA,somewhat,a little,NA,NA,NA,NA,NA,NA
2,2012_4,15,16,This was from 14-18,Associated mostly with high school again from 14-18.,completely spontaneous,somewhat spontaneous,mem,mem,TRUE,TRUE,"I remember listening to this song first back in 2012, but what I am remembering is This is my Biome, a parody in Minecraft that I first watched in 2013 I believe.",I remember listening to this remix called This is My Biome in Minecraft back in 2013 I believe.,neutral,neutral,not at all,not at all,not at all,not at all,"I liked the song but hated the rap, but I would listen pretty often throughout high school and when it was on the radio. Maybe a few times a week from 2012-2014, with some weeks being less and some more.","Payphone by maroon 5 is a legendary song. I used to listen on the radio on the way to school back in 2011 I believe. I added it to my youtube playlist for a while, and maybe listened to it a couple times a month for a few months when it first came out.",extremely,very,not at all,not at all,a lot,a lot,not at all,not at all,not at all,not at all,a little,a little
2,2012_5,15,14,14-16,This was mostly high school time ages 14-16.,completely deliberate,somewhat spontaneous,mem,mem,TRUE,TRUE,I was listening to Lights back in 2012 I believe when I was playing COD MW3 pretty often and remember playing call of duty with it on in the background.,I was playing COD MW3 in my room and listened to this in the background back in those 2011-2012 days of high school.,neutral,neutral,not at all,not at all,not at all,a little,I listened to it in the background with other songs in the playlist. It wasn't a favorite but it was a solid staple from 2012-2013. Listened maybe a couple times a month,"I listened to it on and off but it was on my playlist in 2011. I listened a couple times a week and I remember vibing to this song while playing games. Lights - Eliie Goulding. Good, but not a part of my permanent playlist for long.",very,very,not at all,not at all,somewhat,somewhat,not at all,not at all,not at all,not at all,not at all,somewhat
2,2013_1,11,NA,This was mostly middle school from 11-12.,"This song is from when I was in middle and high school. I remember when I first came to school they were singing this song and talking about expensive fur coats from the thrift store. Mostly, this is from middle school from me when I was between 12-13.",somewhat deliberate,NA,mem,0,TRUE,FALSE,I was walking through the middle school halls when some classmate came up to us and was singing Thrift Shop by Macklemore.,NA,neutral,NA,not at all,NA,a little,NA,"I liked listening occasionally when it was on the radio but never went out of my way to listen to Thrift Shop. It was just an ok song, so I would listen when it was on. Lots of people in my middle school sang it but I never did that.","I have listened to Macklemore, even this song Thrift Store, but I mostly listened to the version from Pentatonix which I thought was much better.  That remix reminds me of my high school days. Thrift Store itself reminds me of middle school but I didn't listen much to it back then",somewhat,very,not at all,NA,a little,a little,a little,NA,a little,NA,not at all,NA
2,2013_2,16,16,I was in high school 16-18.,I associate it with high school so mostly ages 16-18.,somewhat spontaneous,completely deliberate,mem,mem,TRUE,TRUE,"I was listening to this song and was reading about the controversy with nudity, so I looked up the video and was surprised.",I remember the controversial video with nudity with Emily Ratajowski that was uploaded and thinking that it was whatever.,somewhat positive,neutral,a little,not at all,very,not at all,I remembered hearing about the controversy and watched the original video and was surprised by it. I listened on youtube a few more times after that but didn't love Blurred Lines that much.,I listened to Blurred Lines but not outside of the radio or watching the music video for the first time. Very rarely do I listen.,somewhat,somewhat,not at all,not at all,a little,a little,not at all,not at all,very,not at all,somewhat,not at all
2,2013_3,17,NA,Mostly associated with the end of high school ages 16-17.,16-18. This was during the end of high school in my room I remember listening.,somewhat spontaneous,NA,mem,0,TRUE,FALSE,"I was listening to a remix of this song with PTX and Lindsey Stirling, and I remember showing my mother this song back in 2014.",NA,somewhat positive,NA,not at all,NA,a little,NA,"Imagine Dragons - Radioactive. A great song back in the day back in 2014 I believe it was. I listened to it quite often as well as the remixes that came out. Listened multiple times a week for several months. It made it into my youtube playlist, but fell off very soon after.",I used to enjoy listening to the base song and the Lindsey Stirling version in 2014. I listened a few times a week at least when it first released.,extremely,very,not at all,NA,a lot,a lot,a little,NA,somewhat,NA,somewhat,NA
2,2013_5,17,17,Associated mostly with high school for me. Mostly 14-18,Age 16-18,somewhat deliberate,somewhat spontaneous,mem,mem,TRUE,TRUE,Listening to a remix of this song by PTX in my room while studying for a final,I was listening to a Pentatonix version of this song Cant Hold Us by Macklemore at night while studying for a test back in 2014,neutral,somewhat positive,not at all,not at all,not at all,not at all,"I listened to the remix a lot in 2014 when it came out by PTX. I also listened to the original by Macklemore (cant hold us), when it was out on the radio. I added it to my playlist as a workout song. I listened maybe a few times a month until 2014, when I listened a few times a week for about a couple months.",I listened to the PTX version pretty often maybe a couple times a week during a period of a couple months in my junior and senior year of college 2014-15,very,very,not at all,not at all,a lot,somewhat,not at all,not at all,not at all,not at all,a little,somewhat
2,2013_6,17,17,This song is associated with the end of high school to beginning of college. 17-18,Mostly end of high school to beginning of college 17-19. I associate it with my friend from high school who put it on in the background.,completely spontaneous,somewhat spontaneous,mem,mem,TRUE,TRUE,My friend James had picked me up from school and was singing  the long version of this song and I thought at first I didn't love it.,I was in the car with my best friend in high school and he had that on in the background saying he loved Justin's songs.,somewhat positive,somewhat positive,not at all,a little,somewhat,very,I know it's Mirrors by Justin Timberlake. It was a classic song back in 2014 and I listened to it on the radio in high school and was on my playlist in college. Unsure of how often I listened but maybe a couple times a month for 1 year.,I listened to mirrors by justin timberlake because of my friend who put it on in the car. I liked it and added it to the playlist in 2015. It was a staple for a while and I listened multiple times a week for months. Associate it with my best friend from high school.,very,very,a little,somewhat,a lot,a lot,somewhat,very,not at all,somewhat,not at all,a little
