Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,a cappella,active_choice,activities,age,age_at_event,association,bluegrass,blues,bossa nova,choral,classical,Condition_Id,control,country,dance_remix,description,edm,emot_content,emot_intensity,energetic,experience,factor1_tg1_task0,familiarity,fav_genres,favorite_genres,folk_indie,funk,genres,habit_change,habits_overall,hip hop,important,jazz,listen_time,metal,music_performance,musical theatre,new_mus,new_music,opera,overall,platform,pop,preference,,r_and_b,rap,rock,salsa,self_description,social,unique,version_familiarity,vintage,vivid,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked,internal_id
1,block_1,6,post survey,1,1,3,4,"exercise, driving, clean, working, stuff around the house",NA,NA,NA,2,1,1,1,2,1,NA,5,1,NA,1,NA,NA,NA,NA,NA,NA,"Country , Love songs, a cappella",NA,1,1,NA,Yes,I have always liked Country and love songs,3,NA,2,30-60,1,I have a guitar and I tried to learn it a few years ago. Never got good at it.,2,3,NA,1,NA,"Radio, YouTube, TicTok,Facebook",2,NA,,3,2,1,1,option_1,NA,NA,NA,1,NA,yes,NA,NA,2023-02-08T22:43:47Z,598108,group_1,684774,session_1,1,2023-02-08T21:30:12Z,NA,NA,NA,not measured,NA,TRUE,84
1,block_1,6,post survey,1,1,1,2,Running and playing video games,32,NA,NA,2,2,3,2,5,1,NA,2,3,NA,2,NA,NA,NA,NA,NA,NA,"Jazz, Salsa, Classical",NA,2,5,NA,More specific toward my favorite drummers in order to find cool ideas.,It leans on my curiosity. I tend to stay with an artist or group if they capture my attention.,3,NA,6,2hrs,2,Self taught drums from 14-18 Trained at a college from 18-22 and again for my Bachelor's and Master's from 27-31,2,4,NA,1,NA,Spotify and Youtube,4,NA,,2,4,2,5,option_4,NA,NA,NA,2,NA,yes,NA,NA,2023-02-08T22:18:16Z,598114,group_1,684780,session_1,1,2023-02-08T21:31:37Z,NA,NA,NA,not measured,NA,TRUE,58
1,block_1,6,post survey,1,1,1,7,"work, clean",28,NA,NA,1,1,1,1,1,1,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,"soundtrack, rock, indie",NA,2,2,NA,I rarely actively listen to music now,I really don't listen that often,2,NA,1,0-15,2,was in school orchestra/band from ages 7-18,2,4,NA,1,NA,youtube,2,NA,,2,2,2,1,option_2,NA,NA,NA,2,NA,yes,NA,NA,2023-02-08T22:13:02Z,598123,group_1,684789,session_1,1,2023-02-08T21:36:07Z,NA,NA,NA,not measured,NA,TRUE,80
1,block_1,6,post survey,1,1,3,6,"Exercise, doing laundry, cleaning the houses, doing the dishes, cooking",25,NA,NA,1,2,1,2,3,1,NA,2,4,NA,5,NA,NA,NA,NA,NA,NA,"metal, rock, EDM",NA,2,3,NA,"As I got older, I finally branched out to listening different genres other than metal and rock. However, I still find myself listening to them more than anything","I will always find metal and rock as my comfort music, but I'm not opposed to finding other artists in different genres",4,NA,2,4hrs or more,5,"From the ages of 11-13, I played the flute in band.",3,5,NA,2,NA,"Spotify, Apple Music",3,NA,,4,4,5,2,option_1,NA,NA,NA,3,NA,yes,NA,NA,2023-02-08T23:23:08Z,598138,group_1,684804,session_1,1,2023-02-08T21:43:02Z,NA,NA,NA,not measured,NA,TRUE,62
1,block_1,6,post survey,1,1,1,2,"driving, cleaning, exercising, cooking",33,NA,NA,1,1,1,1,1,1,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,"folk punk, indie, alternative rock",NA,5,1,NA,sometimes I find new genres that I can relate to more,I like folk punk a lot because it's easy to listen to and talks about things I'm concerned about.,3,NA,1,30-60,1,I was in choir from 7-10 and always love singing,1,6,NA,1,NA,"radio, pandora, youtube",4,NA,,1,3,5,1,option_1,NA,NA,NA,1,NA,yes,NA,NA,2023-02-08T23:06:08Z,598143,group_1,684809,session_1,1,2023-02-08T21:48:44Z,NA,NA,NA,not measured,NA,TRUE,87
1,block_1,6,post survey,1,1,3,5,"Put on makeup, get dressed, exercise, drive in the car, take a shower and walking in the park.",31,NA,NA,1,1,1,2,4,1,NA,3,5,NA,1,NA,NA,NA,NA,NA,NA,"Pop, Rock, Classical.",NA,3,1,NA,I listen more to Rock more these days then Pop when I was younger.,I like to listen to similar artists/songs that I like personally.,2,NA,2,60-90,4,16-Jun,1,4,NA,1,NA,Youtube and radio.,5,NA,,3,3,5,2,option_1,NA,NA,NA,5,NA,yes,NA,NA,2023-02-09T00:11:44Z,598144,group_1,684810,session_1,1,2023-02-08T21:50:14Z,NA,NA,NA,not measured,NA,TRUE,33
1,block_1,6,post survey,1,1,2,5,"exercising, chores, driving, work sometimes",30,NA,NA,1,1,1,3,1,1,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,"metal, folk/indie, rock",NA,4,1,NA,"a bit, i listen more to music over streaming services now days",i usually just listen to music over spotify or radio when i am working or doing chores/exercising,2,NA,1,30-60,4,not a mucician,1,5,NA,3,NA,"spotify, youtube, radio",2,NA,,2,1,4,1,option_1,NA,NA,NA,1,NA,yes,NA,NA,2023-02-08T23:21:35Z,598162,group_1,684828,session_1,1,2023-02-08T22:03:59Z,NA,NA,NA,not measured,NA,TRUE,14
1,block_1,6,post survey,1,1,1,6,"driving, exercising, chores, walking",19,NA,NA,6,6,6,1,4,1,NA,2,3,NA,4,NA,NA,NA,NA,NA,NA,"R&B, Pop, Rock",NA,2,4,NA,No,"Always have listened to whatever I like, no need to categorize my interests of music.",4,NA,3,4hrs or more,3,not a musician,2,5,NA,2,NA,"YouTube, TikTok",4,NA,,5,4,4,4,option_1,NA,NA,NA,2,NA,yes,NA,NA,2023-02-08T22:52:21Z,598161,group_1,684827,session_1,1,2023-02-08T22:03:52Z,NA,NA,NA,not measured,NA,TRUE,34
1,block_1,6,post survey,1,1,1,6,"driving, play on the computer",29,NA,NA,1,2,6,1,2,1,NA,2,3,NA,2,NA,NA,NA,NA,NA,NA,"indie, pop, rock",NA,5,2,NA,"sure. sometimes I listen less, sometimes more. Genres change up",NA,3,NA,2,60-90,3,not a musician,1,4,NA,1,NA,spotify,5,NA,,4,3,5,1,option_1,NA,NA,NA,3,NA,yes,NA,NA,2023-02-08T23:19:46Z,598166,group_1,684832,session_1,1,2023-02-08T22:06:09Z,NA,NA,NA,not measured,NA,TRUE,68
1,block_1,6,post survey,1,1,1,4,"cleaning house, taking showers, hanging with friends",30,NA,NA,1,5,1,1,5,1,NA,5,5,NA,5,NA,NA,NA,NA,NA,NA,"hip hop, r&b, rock",NA,1,2,NA,no,NA,5,NA,5,4hrs or more,5,not a musician,1,4,NA,1,NA,"youtube, amazon music",5,NA,,5,5,5,1,option_1,NA,NA,NA,1,NA,yes,NA,NA,2023-02-09T00:15:27Z,598175,group_1,684841,session_1,1,2023-02-08T22:08:04Z,NA,NA,NA,not measured,NA,TRUE,78
1,block_1,6,post survey,1,1,6,7,I usually put in on on its own or listen to it while I play video games and sometimes while I cook,24,NA,NA,1,1,2,6,3,1,NA,1,2,NA,3,NA,NA,NA,NA,NA,NA,"Metal, Rock, Classical",NA,2,1,NA,Yes I used to not listen to music besides what played in the radio while I was driven to school but slowly started listening to more songs as I grew older and now seek out a lot of new music,I usually only listen to Japanese music thus do not recognize most songs people would recognize unless I heard it in a video or before I really started to like music,1,NA,2,2-3hrs,4,13-Sep,2,2,NA,1,NA,I usually have all my songs downloaded or listen to them on youtube,3,NA,,1,1,4,1,option_1,NA,NA,NA,1,NA,yes,NA,NA,2023-02-08T22:55:28Z,598179,group_1,684845,session_1,1,2023-02-08T22:09:14Z,NA,NA,NA,not measured,NA,TRUE,1
1,block_1,6,post survey,1,1,3,7,"cooking , driving and cleaning",29,NA,NA,1,2,1,1,4,1,NA,2,5,NA,1,NA,NA,NA,NA,NA,NA,"R &B, hip hop, rap",NA,2,4,NA,not changed,i listen to music every day,4,NA,3,30-60,2,not a musician,1,7,NA,2,NA,"radio, youtube and apple music",4,NA,,5,4,4,1,option_1,NA,NA,NA,3,NA,yes,NA,NA,2023-02-09T00:21:23Z,598180,group_1,684846,session_1,1,2023-02-08T22:08:04Z,NA,NA,NA,not measured,NA,TRUE,36
1,block_1,6,post survey,1,1,1,4,"Exercising, folding laundry, driving",29,NA,NA,6,1,1,1,1,1,NA,2,5,NA,5,NA,NA,NA,NA,NA,NA,"Rap, EDM, Club Remixes",NA,1,1,NA,"They haven't really, I would say I started listening to rap at maybe like 11 and then added EDM around 20.",N/A,5,NA,1,30-60,1,not a musician,1,4,NA,1,NA,"YouTube, Radio",1,NA,,4,5,1,1,option_0,NA,NA,NA,1,NA,yes,NA,NA,2023-02-08T23:20:36Z,598187,group_1,684853,session_1,1,2023-02-08T22:14:15Z,NA,NA,NA,not measured,NA,TRUE,47
1,block_1,6,post survey,1,1,2,5,"Driving, working out, drinking alcohol, watching sports",30,NA,NA,2,2,2,1,2,1,NA,3,2,NA,2,NA,NA,NA,NA,NA,NA,"Hip-hop/rap, rock, and then country",NA,2,2,NA,I have begun to appreciate more old school music.,I enjoy rap the most but can tolerate most genres.,5,NA,2,60-90,3,Not a musician,1,4,NA,1,NA,Spotify,4,NA,,3,5,4,2,option_0,NA,NA,NA,2,NA,yes,NA,NA,2023-02-08T23:00:38Z,598193,group_1,684859,session_1,1,2023-02-08T22:15:45Z,NA,NA,NA,not measured,NA,TRUE,57
1,block_1,6,post survey,1,1,1,6,"Exercise, driving",30,NA,NA,1,2,1,1,2,1,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,"Hip hop, rap, pop",NA,1,2,NA,Listen to much less music now than I used to,Nothing additional to add,5,NA,2,0-15,1,played piano from 8 - 14,2,5,NA,1,NA,Spotify or YouTube now,3,NA,,3,4,1,1,option_1,NA,NA,NA,1,NA,yes,NA,NA,2023-02-08T23:20:18Z,598194,group_1,684860,session_1,1,2023-02-08T22:15:48Z,NA,NA,NA,not measured,NA,TRUE,55
1,block_1,6,post survey,1,1,3,4,I will play on my phone.,NA,NA,NA,3,3,1,3,4,1,NA,4,3,NA,4,NA,NA,NA,NA,NA,NA,Country and Pop,NA,2,3,NA,I've actually listened to more over time.,I've developed a deeper love for music.,4,NA,3,2hrs,3,not a musician,3,4,NA,1,NA,Pandora,4,NA,,4,2,4,2,option_1,NA,NA,NA,3,NA,yes,NA,NA,2023-02-09T01:04:13Z,598198,group_1,684864,session_1,1,2023-02-08T22:16:28Z,NA,NA,NA,not measured,NA,TRUE,41
1,block_1,6,post survey,1,1,1,3,"Driving, Studying/Reading, Exercising, Cleaning",39,NA,NA,2,1,1,1,1,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,"Pop, folk, rock",NA,3,1,NA,"I listen more to streaming and movie soundtracks, but I still hear a ton of popular music through the radio in the car.",pretty much the same as I've done it when I was younger. I've never been as obsessed with music as my friends and others seem to be.,2,NA,1,15-30,1,not a musician,1,5,NA,1,NA,"Pandora, Spotify, Youtube",4,NA,,1,2,4,1,option_0,NA,NA,NA,4,NA,yes,NA,NA,2023-02-08T23:57:52Z,598202,group_1,684868,session_1,1,2023-02-08T22:17:22Z,NA,NA,NA,not measured,NA,TRUE,37
1,block_1,6,post survey,1,1,1,7,"Homework, driving, exercising, cooking, cleaning.",21,NA,NA,1,4,4,1,3,1,NA,1,2,NA,2,NA,NA,NA,NA,NA,NA,"R&B, K-Pop, Indie",NA,2,1,NA,NA,I listen to a bit of everything.,2,NA,5,60-90,1,I played piano from age 12-15 and flute from age 12-14.,1,4,NA,1,NA,Spotify,4,NA,,5,2,3,2,option_1,NA,NA,NA,3,NA,yes,NA,NA,2023-02-08T23:29:36Z,598203,group_1,684869,session_1,1,2023-02-08T22:17:38Z,NA,NA,NA,not measured,NA,TRUE,26
1,block_1,6,post survey,1,1,1,7,Play along or when doing laundry.,21,NA,NA,3,3,2,1,2,1,NA,2,1,NA,3,NA,NA,NA,NA,NA,NA,"Alternative Rock, Hip-Hop, Funk",NA,5,3,NA,A little bit.,"My teen years were heavily influenced by hip-hop, but not as much now even though i still listen sometimes.",4,NA,3,4hrs or more,3,Self-taught guitarist from,1,4,NA,2,NA,"Youtube, Spotify",2,NA,,3,4,5,3,option_2,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T23:08:12Z,598204,group_1,684870,session_1,1,2023-02-08T22:16:12Z,NA,NA,NA,not measured,NA,TRUE,89
1,block_1,6,post survey,1,1,1,6,"Driving, Cleaning, Showering",32,NA,NA,1,3,1,1,1,1,NA,2,4,NA,2,NA,NA,NA,NA,NA,NA,"R&B, Gospel, and Rap",NA,1,2,NA,Yes. I do not listen to as much rap as I used to. I also like to hear more cultural songs.,I use music to awaken me and direct my mood.,5,NA,2,60-90,1,"I took violin lessons at age 8-9, ages10-16 I played the flute",2,4,NA,1,NA,Spotify,3,NA,,5,5,1,2,option_1,NA,NA,NA,1,NA,yes,NA,NA,2023-02-08T23:54:01Z,598205,group_1,684871,session_1,1,2023-02-08T22:14:56Z,NA,NA,NA,not measured,NA,TRUE,56
1,block_1,6,post survey,1,1,2,7,Everything possible,21,NA,NA,2,3,2,2,3,1,NA,3,2,NA,3,NA,NA,NA,NA,NA,NA,"Folk pop, pop punk, rock",NA,4,2,NA,I used to listen to a lot more mainstream pop music; now my taste is more varied,I try to absorb as many different genres as I can,2,NA,3,4hrs or more,3,"Classically trained violinist from 5-17, still involved in orchestra and pit orchestra performances but in a less serious capacity, minoring in music at school, conducting the pit orchestra in a musical",3,4,NA,2,NA,Spotify,3,NA,,2,2,4,2,option_3,NA,NA,NA,2,NA,yes,NA,NA,2023-02-08T23:13:42Z,598207,group_1,684873,session_1,1,2023-02-08T22:19:16Z,NA,NA,NA,not measured,NA,TRUE,35
1,block_1,6,post survey,1,1,1,6,"driving, hanging out with friends, cleaning, getting ready",27,NA,NA,3,2,1,1,1,1,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,"Rap, bluegrass, indie",NA,4,3,NA,Yes,I mainly listen to rap,4,NA,3,15-30,3,Not a musician,1,6,NA,1,NA,YouTube,1,NA,,3,4,2,1,option_0,NA,NA,NA,2,NA,yes,NA,NA,2023-02-09T00:16:59Z,598211,group_1,684877,session_1,1,2023-02-08T23:21:20Z,NA,NA,NA,not measured,NA,TRUE,81
1,block_1,6,post survey,1,1,1,5,Running Errands,27,NA,NA,1,1,1,1,1,1,NA,1,5,NA,5,NA,NA,NA,NA,NA,NA,"Jungle/DnB, Reggaeton, Lounge",NA,1,1,NA,I listen a lot more to music and I am more conscious about what I want to listen to!,"A lot of the road, at home with a speaker most of the time unless it's on my phone and it's with headphones and earbuds",2,NA,5,30-60,2,NA,1,4,NA,1,NA,"Spotify, Downloaded Library, YouTube, Dash Radio, SiriusXM",5,NA,,5,2,3,2,option_1,NA,NA,NA,1,NA,yes,NA,NA,2023-02-09T00:45:46Z,598219,group_1,684885,session_1,1,2023-02-08T22:20:45Z,NA,NA,NA,not measured,NA,TRUE,39
1,block_1,6,post survey,1,1,2,6,"Sometimes I can listen while doing dishes or folding laundry, but I tend to get more involved mentally with the music than with my tasks.",34,NA,NA,3,2,2,3,3,1,NA,3,2,NA,3,NA,NA,NA,NA,NA,NA,"I like folk music, jazz classics, and...I guess EDM.",NA,4,3,NA,"I wish I had more time in the day to spend listening to music. Life fills up with obligations and chores easily, and I don't often have the hours a day I used to.",Can't think of anything additional.,2,NA,3,60-90,3,"5-16, classical piano instruction / 10-16, vocal coaching / 12 - present, guitar (self-taught)",3,4,NA,3,NA,Youtube and Apple Music mostly,3,NA,,2,3,3,2,option_2,NA,NA,NA,3,NA,yes,NA,NA,2023-02-08T23:30:11Z,598221,group_1,684887,session_1,1,2023-02-08T22:23:17Z,NA,NA,NA,not measured,NA,TRUE,16
1,block_1,6,post survey,1,1,1,5,Mostly driving but also cleaning and playing video games.,23,NA,NA,2,2,6,6,2,1,NA,2,3,NA,1,NA,NA,NA,NA,NA,NA,"rap, folk, pop",NA,5,3,NA,"Yes, they went from whatever was on, aka pop, as a kid to rock and punk as a preteen, to metal as an early teen, to folk and pop a bit later in my teens, to now I listen to anything as long as it sounds good but still prefer folk and pop.",Above.,3,NA,1,15-30,2,I played the trumpet when I was in the 6th grade. I hated it.,1,3,NA,1,NA,"Spotify, Alexa, Amazon Music, Youtube/Youtube Music, Radio",4,NA,,4,4,3,1,option_1,NA,NA,NA,2,NA,yes,NA,NA,2023-02-08T23:28:43Z,598223,group_1,684889,session_1,1,2023-02-08T22:23:33Z,NA,NA,NA,not measured,NA,TRUE,13
1,block_1,6,post survey,1,1,3,6,none,22,NA,NA,3,2,3,2,3,1,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,"R&B, COUNTRY, HIP HOP",NA,3,2,NA,I SPEND MOST MY LEISURE TIME LISTENING TO R&B MOSTLY ON SPOTIFY,NA,3,NA,2,60-90,4,NOT APPLICABLE,4,5,NA,3,NA,"mostly on radio, spotifyand youtube",3,NA,,3,4,4,3,option_1,NA,NA,NA,3,NA,yes,NA,NA,2023-02-09T00:12:54Z,598226,group_1,684892,session_1,1,2023-02-08T22:23:56Z,NA,NA,NA,not measured,NA,TRUE,9
1,block_1,6,post survey,1,1,2,5,Video gaming,24,NA,NA,2,2,1,1,1,1,NA,2,4,NA,4,NA,NA,NA,NA,NA,NA,Pop rap Post hardcore,NA,3,3,NA,Music taste has changed alot went from rocker to everything,NA,4,NA,2,2-3hrs,5,"taught guitar by my old brother and self tauht, played keyboard early on",1,NA,NA,2,NA,"Youtube, YT Music, Spotify",4,NA,,3,4,4,3,option_2,NA,NA,NA,3,NA,yes,NA,NA,2023-02-09T00:26:03Z,598224,group_1,684890,session_1,1,2023-02-08T22:24:38Z,NA,NA,NA,not measured,NA,TRUE,60
1,block_1,6,post survey,1,1,2,5,"Driving, working, a night out with friends, working out",33,NA,NA,3,3,1,2,2,1,NA,4,4,NA,2,NA,NA,NA,NA,NA,NA,1. Rap 2. R&B 3. Country,NA,2,2,NA,I've progressively listened to more music as I've gotten older,NA,5,NA,3,4hrs or more,1,Marching band from age 12-16,1,5,NA,1,NA,"Youtube, Pandora, SiriusXM",3,NA,,5,5,4,1,option_1,NA,NA,NA,2,NA,yes,NA,NA,2023-02-08T23:36:13Z,598232,group_1,684898,session_1,1,2023-02-08T22:28:48Z,NA,NA,NA,not measured,NA,TRUE,45
1,block_1,6,post survey,1,1,1,4,"anything and everything. except during surveys, always gotta turn it off for those",27,NA,NA,4,5,3,2,4,1,NA,2,5,NA,1,NA,NA,NA,NA,NA,NA,"house, blues/jazz, funk",NA,4,5,NA,"i had no opinion on music as a small child, listen to what my dad did. high school was super into country music. college got into jam, funk, and bluegrass music. evolved through 90s hip hop into house music these days and the vintage vibes playlist.","I listen most of the time, unless i forget and i will go days without choosing digital music. I have an extensive record collection of rock, jazz, instraumental, hiphop , funk and such. I try and pop on a record in the morning and hope to remeber to pop more on. its hard when it stop after 5 songs.",3,NA,4,2-3hrs,3,"tried piano as a child but did not pursue, picked up a banjo at 18 and learned some chords. at 26 started pushing keys on a piano again",1,3,NA,2,NA,spotify,1,NA,,3,3,3,3,option_1,NA,NA,NA,4,NA,yes,NA,NA,2023-02-08T23:14:05Z,598235,group_1,684901,session_1,1,2023-02-08T22:29:47Z,NA,NA,NA,not measured,NA,TRUE,63
1,block_1,6,post survey,1,1,1,7,"driving, laundry, writing, cleaning, cooking",30,NA,NA,2,2,2,2,4,1,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,"classical, jazz, world",NA,3,2,NA,My listening habits have changed in response to professional obligations,"Very, very eclectic. I like traditional music from other countries and historic music, so my playlist can look like (Benny Goodman-->duduk song-->Lana del Rey-->Mountain Goats-->Mitski-->Traditional Chinese Ensemble-->Ravel-->Paul Odette-->George Lewis)",1,NA,4,30-60,1,"BM in clarinet performance, Masters in Music Therapy, classically trained clarinetist from 10 on, trained on sax and flute 14-18, krumhorn and recorder from 18-22, piano from 18 on, voice and guitar from 21 on.",3,5,NA,2,NA,"spotify, youtube, band camp",3,NA,,2,1,4,2,option_4,NA,NA,NA,2,NA,yes,NA,NA,2023-02-09T00:20:28Z,598242,group_1,684908,session_1,1,2023-02-08T22:34:01Z,NA,NA,NA,not measured,NA,TRUE,42
