Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,a cappella,active_choice,activities,age,age_at_event,association,bluegrass,blues,bossa nova,choral,classical,Condition_Id,control,country,dance_remix,description,edm,emot_content,emot_intensity,energetic,experience,factor1_tg1_task0,familiarity,fav_genres,favorite_genres,folk_indie,funk,genres,habit_change,habits_overall,hip hop,important,jazz,listen_time,metal,music_performance,musical theatre,new_mus,new_music,opera,overall,platform,pop,preference,,r_and_b,rap,rock,salsa,self_description,social,unique,version_familiarity,vintage,vivid,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
1,block_1,3,main task 1,9,25,NA,NA,NA,NA,18,19,NA,NA,NA,NA,NA,1,somewhat spontaneous,NA,NA,I remember hearing it the year after I graduated,NA,somewhat positive,a little,somewhat,heard it second-hand and liked it,NA,extremely,NA,NA,NA,NA,NA,NA,NA,NA,not at all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,not at all,somewhat,NA,NA,a little,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,10,18,NA,NA,NA,NA,16,High school Theatre,NA,NA,NA,NA,NA,1,neither,NA,NA,General memory of Sophomore year high school in Theatre.,NA,neutral,not at all,somewhat,Heard it from my theatre friends,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,not at all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,somewhat,very,NA,NA,a little,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,11,10,NA,NA,NA,NA,11,12-Oct,NA,NA,NA,NA,NA,1,somewhat deliberate,NA,NA,memory of hearing it a lot from my sisters,NA,somewhat positive,not at all,a little,Heard it from both of my sisters a lot,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,a little,very,NA,NA,not at all,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,12,5,NA,NA,NA,NA,14,Middle school,NA,NA,NA,NA,NA,1,somewhat deliberate,NA,NA,Hearing it from the middle school radio,NA,neutral,not at all,a little,Heard from middle school radio,NA,extremely,NA,NA,NA,NA,NA,NA,NA,NA,a little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a lot,,NA,NA,NA,NA,NA,very,a little,NA,NA,a little,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,13,17,NA,NA,NA,NA,12,Middle School,NA,NA,NA,NA,NA,1,somewhat spontaneous,NA,NA,Hearing it constantly from middle school girls,NA,somewhat negative,somewhat,somewhat,Heard it constantly played from girls in middle school,NA,somewhat,NA,NA,NA,NA,NA,NA,NA,NA,a little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,somewhat,a little,NA,NA,somewhat,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,14,2,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,n/a,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,15,6,NA,NA,NA,NA,13,middle school,NA,NA,NA,NA,NA,1,somewhat spontaneous,NA,NA,General memory of middle school,NA,neutral,not at all,not at all,heard from the radio,NA,somewhat,NA,NA,NA,NA,NA,NA,NA,NA,not at all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,not at all,not at all,NA,NA,not at all,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,16,14,NA,NA,NA,NA,NA,n/a,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,heard from the radio,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,17,16,NA,NA,NA,NA,NA,high school,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,heard from radio,NA,a little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,18,8,NA,NA,NA,NA,14,middle school 14- 15,NA,NA,NA,NA,NA,1,completely spontaneous,NA,NA,Memory of me in middle school,NA,somewhat negative,somewhat,somewhat,played it a lot by myself,NA,extremely,NA,NA,NA,NA,NA,NA,NA,NA,a little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,not at all,very,NA,NA,somewhat,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,19,19,NA,NA,NA,NA,NA,after high school 19-21,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"heard from sisters, grew to like it",NA,extremely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,love it!,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,20,23,NA,NA,NA,NA,NA,after high school 18-21,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,like it when I listened to it,NA,extremely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a lot,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,21,1,NA,NA,NA,NA,NA,n/a,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,n/a,NA,not at all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,22,13,NA,NA,NA,NA,17,17,NA,NA,NA,NA,NA,1,somewhat spontaneous,NA,NA,Private,NA,somewhat positive,somewhat,somewhat,heard from family,NA,extremely,NA,NA,NA,NA,NA,NA,NA,NA,not at all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a lot,,NA,NA,NA,NA,NA,a little,not at all,NA,NA,somewhat,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,23,4,NA,NA,NA,NA,NA,hanging out with my sisters,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,heard from my sisters,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,24,22,NA,NA,NA,NA,NA,high school 17,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,heard from radio,NA,somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,3,main task 1,25,24,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,heard from radio,NA,somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,4,break,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,1,25,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,n/a,NA,a little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,2,12,NA,NA,NA,NA,14,middle school 14,NA,NA,NA,NA,NA,1,neither,NA,NA,hearing from the middle school radio,NA,somewhat negative,not at all,a little,heard from the cafeteria radio,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,a little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,somewhat,somewhat,NA,NA,somewhat,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,3,17,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,heard from radio,NA,somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,4,14,NA,NA,NA,NA,14,middle school to early high school,NA,NA,NA,NA,NA,1,completely spontaneous,NA,NA,Listened to it a lot middle school and early high school,NA,neutral,somewhat,a little,listened to it myself,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,not at all,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,a little,very,NA,NA,very,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,5,10,NA,NA,NA,NA,NA,Early high school 15,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,heard from car radio,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not at all,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,6,11,NA,NA,NA,NA,13,middle school 14,NA,NA,NA,NA,NA,1,neither,NA,NA,Listened to it a lot in middle school,NA,somewhat positive,somewhat,very,listened to it a lot by myself,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,a little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,not at all,very,NA,NA,somewhat,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,7,21,NA,NA,NA,NA,NA,After high school 19,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,heard from internet,NA,somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,8,1,NA,NA,NA,NA,10,in my home with only my sisters in the background 10,NA,NA,NA,NA,NA,1,somewhat spontaneous,NA,NA,Heard a lot from my sisters,NA,neutral,very,not at all,heard it only from my sisters,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,a little,very,NA,NA,somewhat,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,9,24,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,heard from radio,NA,somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,10,20,NA,NA,NA,NA,NA,mostly heard it from the internet as a joke,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,heard it in a joking manner,NA,extremely,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,11,8,NA,NA,NA,NA,8,no,NA,NA,NA,NA,NA,1,somewhat spontaneous,NA,NA,Hear it a lot by myself during middle school,NA,neutral,a little,not at all,heard by myself,NA,somewhat,NA,NA,NA,NA,NA,NA,NA,NA,a little,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,not at all,a little,NA,NA,a little,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,12,22,NA,NA,NA,NA,16,Homecoming in high school 17,NA,NA,NA,NA,NA,1,somewhat spontaneous,NA,NA,Private,NA,somewhat negative,somewhat,somewhat,mostly heard from radio,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,very,extremely,NA,NA,very,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,13,6,NA,NA,NA,NA,NA,middle school,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,heard from radio,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,14,2,NA,NA,NA,NA,NA,early high school,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,heard from radio,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,15,7,NA,NA,NA,NA,NA,middle school,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,heard from radio,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,16,9,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,radio,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a little,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,17,5,NA,NA,NA,NA,13,middle school,NA,NA,NA,NA,NA,1,completely spontaneous,NA,NA,Memory of the looks of tired kids in the middle school cafeteria with songs like this playing,NA,very negative,very,not at all,radio,NA,extremely,NA,NA,NA,NA,NA,NA,NA,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not at all,,NA,NA,NA,NA,NA,somewhat,very,NA,NA,very,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,18,19,NA,NA,NA,NA,NA,high school,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,from radio,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,19,13,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,radio,NA,somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not at all,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
1,block_1,5,main task 2,20,3,NA,NA,NA,NA,13,middle school,NA,NA,NA,NA,NA,1,completely spontaneous,NA,NA,memory of tired kids in a line in the middle school cafeteria,NA,somewhat negative,somewhat,not at all,heard from radio,NA,very,NA,NA,NA,NA,NA,NA,NA,NA,somewhat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not at all,,NA,NA,NA,NA,NA,somewhat,very,NA,NA,somewhat,yes,NA,NA,2023-02-08T19:15:00Z,597943,group_1,684600,session_1,1,2023-02-08T18:07:55Z,NA,NA,NA,not measured,NA,TRUE
