participant,age,musician,listen_time,medium,music_making,music_seeking,music_choice,activities,question1.Classical,question1.Disco,question1.Classic.rock,question1.Reggae,question1.A.cappella,question1.Country,question1.Hip.hop,question1.Ambient,question1.Electronic..EDM.,question1.Metal,question1.Alternative.rock,question1.Latin,question1.R.B,question1.Folk.indie,question1.Jazz,question1.Pop,other_genres,genres_ranked.text1,genres_ranked.text2,genres_ranked.text3,habit_change,habits
103736,30,Item 2,Item 2,spotify,not a musician,6,4,driving and shopping,Sometimes,Rarely,Often,Often,Sometimes,Rarely,Often,Rarely,Often,Always,Always,Sometimes,Always,Often,Often,Often,,rock,r&b,alternative ,paramore is still one of my top artist ,
901377,29,Item 2,Item 5,Spotify and iPod,Not a musician and very bad at all forms of music,5,6,"work, chores, playing videogames, crafting, art",Rarely,Sometimes,Rarely,Never,Never,Rarely,Often,Rarely,Sometimes,Rarely,Sometimes,Never,Rarely,Always,Rarely,Often,soundtracks/original scores,folk,rock,pop,"As a kid I mostly listened to CDs and listened to music I learned from my parents before branching out into popular artists to teens at the time and musicians I heard from movies/shows. Lots of angsty emo stuff as a teen. Got into more experimental stuff in high school, like Tom Waits. Started branching out. Used an iPod + iTunes for the most part up until I was out of college (2017).","Nowadays, I'm finally mainly using Spotify, though I still have an old iPod classic that I use. I tend to find new artists via Spotify's discover playlists and songs featured in shows I like."
964911,31,Item 2,Item 4,"youtube, apple music",not a musician but have always loved music especially during my teen years all I did was seek out new artist and songs,4,6,"driving, playing games, relaxing",Never,Never,Rarely,Rarely,Never,Never,Always,Rarely,Rarely,Never,Rarely,Never,Often,Rarely,Never,Often,,rap,hip hip ,alternative rock,I use to listen to music constantly and as I got older it became less and less. Now I only listen during certain activities and tend to enjoy the silence more now. ,If there is a song that I like I will listen to it over and over again. 
621264,36,Item 2,Item 4,Spotify,not a musician,5,4,"driving, exercising, work, sleep, reading, housework",Rarely,Sometimes,Never,Sometimes,Never,Often,Often,Often,Rarely,Never,Never,Never,Always,Rarely,Sometimes,Often,none,R & B,Hip Hop,Pop,I've shifted to more R&B styles of music mostly instead of Hip hop,none
51904,25,Item 2,Item 4,Youtube and Spotify,Sing solo and in choir settings my whole life. Played violin for a year.,2,6,"Doing chores, working out, playing games",Rarely,Sometimes,Rarely,Rarely,Rarely,Rarely,Often,Rarely,Always,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Always,Kpop,EDM,Pop,Indie,"I rarely listened to music intentionally. I usually listened to the radio, but otherwise, listening to music was not an activity in itself for me. However, once I started tracking my music listening, I realized that I enjoyed seeking out new artists and genres to listen to.","Most of my music listening is done when I'm working out. I rarely listen to music when I play games since I like to enjoy the original score as well. When I discover a song or album I really like, I'll have it on repeat for up to a month."
888007,69,Item 2,Item 3,"YouTube, Apple, Radio",played the saxophone from 6th grade through high school.,5,7,"driving, painting art works, exercising, reading",Never,Sometimes,Sometimes,Never,Never,Never,Never,Rarely,Sometimes,Never,Never,Never,Rarely,Rarely,Always,Sometimes,,Smooth Jazz,80's,Electronic,I listen more for relaxation.  I like calmer and softer music than when I was younger.,
913152,21,Item 1,Item 3,Spotify,I played cello between the ages of 7 and 12 and sang in musicals from 14 to 18.,5,7,I put it in the background when I'm doing admin work like answering emails. I also use it when I'm walking or commuting.,Rarely,Never,Rarely,Sometimes,Never,Sometimes,Often,Never,Never,Never,Often,Never,Sometimes,Often,Sometimes,Rarely,,Alt rock,Folk/indie,Hip hop,I listened to a lot of classical music when I was younger and have definitely started listening to significantly more hip hop in recent years.,When I'm relaxing I put on folk/indie and when I'm working or commuting I put on alt rock and hip hop.
775549,21,Item 2,Item 4,"Spotify, YouTube",Not a musician,6,7,"gaming, hanging out with friends, exercising, driving",Rarely,Rarely,Rarely,Never,Never,Rarely,Often,Sometimes,Sometimes,Often,Often,Rarely,Rarely,Sometimes,Rarely,Sometimes,,Alternative,Metal,Rap,"I went from liking only a few genres or songs to putting all my listening into only Metal, to then listen to almost any genre now! My preference is very optimistic but I don't take the time to discover new music that much.",
711879,18,Item 2,Item 3,Amazon music,"12-15  school band played the flute, 15-18 non musician",5,7,"Walking, driving, any time ",Never,Never,Sometimes,Rarely,Never,Never,Never,Never,Often,Unsure,Unsure,Never,Never,Never,Never,Never,,Metal,Punk Pop,Alternative,Between the ages of 12 and 14 I would listen to emo and now I listen to metal,I dont know
614933,34,Item 2,Item 4,YouTube,Not a musician,5,7,"Hanging out with friends, playing games, working",Sometimes,Rarely,Sometimes,Never,Never,Never,Sometimes,Often,Often,Often,Often,Never,Rarely,Rarely,Sometimes,Never,Instrumental,Instrumental,Metal,Alternative Rock,"I've incorporated more ""mainstream"" music recommended by my friends and family to my playlists. Other than that, my tastes haven't changed much since I was a kid.",
267298,26,Item 1,Item 3,Spotify,Not a musician,6,6,"Exercising, driving, chores",Never,Never,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Sometimes,Never,Rarely,Always,Never,Always,,Pop,Indie,Rock,When younger I would listen to music on the radio and a hand me down iPod. Now I listen on Spotify from an album of liked songs.,I listen to a lot of pop and indie songs on repeat while doing another task. I rarely look for new artists but will listen more through word of mouth from friends.
740015,39,Item 2,Item 4,"Radio, spotify, youtube","Choir all during highschool, band in elementary and middle school.",4,5,"Driving, cleaning, working outside, exercising",Rarely,Rarely,Often,Rarely,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Rarely,Often,Sometimes,Rarely,Always,,Alternative,Pop,Country,Nope,
753153,22,Item 3,Item 2,Spotify,I learned basic piano at around 12 years old to present. I was involved also in the Choir and Orchestra playing the viola during my school years,5,7,cleaning,Rarely,Never,Rarely,Sometimes,Rarely,Rarely,Often,Sometimes,Rarely,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Rap,Pop,Ballad,Hip hop,I listen to more mainstream music when in the past I used to seek out new artists.,I tend to favorite specific songs rather than a genre or an artist.
378811,27,Item 3,Item 5,Apple Music and Spotify,Self taught classical guitarist from 20-27,3,5,"Driving, exercising, laundry, work, parties",Often,Rarely,Often,Often,Rarely,Often,Often,Sometimes,Rarely,Never,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Remixes,Classic Rock,Hip Hop,Country,"More diverse over time, less metal",Music is a large part of my life
259755,31,Item 3,Item 4,Spotify and YouTube,I used to play in a garage band with my brother back in high school 15-18. I can play a cupule songs on guitar15-18. What I'm really good at is baking beats on the computer 18-31. ,4,7,"driving, exercising, working around the house, when I'm in the shower",Never,Never,Often,Never,Never,Rarely,Often,Rarely,Rarely,Often,Always,Never,Rarely,Never,Never,Sometimes,none,Alternative rock,Classic rock,R&B,I used to only listen to hip hop and rap when I was younger. Now I listen to strictly Alternative rock.,I listen to music to feel. It gives me the strength to push on when I'm feeling down. I cant explain it but I have to band I listen to every day and they are all I need the rest of my life. The message they bring gives me hope and power to push forward. 
851807,26,Item 1,Item 6,Spotify,"Classically trained ballerina, pianist from age 7-16",2,6,"Driving, exercising, hanging out, studying, working",Rarely,Rarely,Often,Sometimes,Never,Rarely,Always,Rarely,Sometimes,Never,Sometimes,Never,Always,Often,Rarely,Always,,Hip Hop,R&B,Classic rock,I listen more frequently now than I did when I was younger,No
35559,36,Item 2,Item 5,"radio, apple music, xm radio",I play the clarinet from 13-15 years old. ,6,6,"driving, exercising",Never,Always,Rarely,Rarely,Rarely,Rarely,Always,Never,Never,Never,Never,Never,Always,Never,Never,Always,I listen to the ones listed. ,R&B,Hip hop,Disco,"The older I am getting the more I am wanting to listen to music from the 70s, 80s, 90s and early 2000s. ",
128549,30,Item 2,Item 5,Spotify,Took guitar lesson from aged 7-13,3,5,"driving, working",Rarely,Rarely,Sometimes,Never,Never,Rarely,Never,Often,Always,Never,Sometimes,Rarely,Rarely,Often,Sometimes,Always,,Electronic (EDM),Pop,Folk/indie,More Electronic (EDM) focused,
516664,34,Item 2,Item 3,"Apple music, spotify",Music-loving non musician,5,6,"Exercising, driving, hanging with friends",Sometimes,Rarely,Sometimes,Sometimes,Rarely,Always,Always,Rarely,Rarely,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,,,Hip hop,R&B,Country,No,Everything has been captured by previous questions
505333,25,Item 2,Item 5,Spotify,"Learned violin from 7-15, not a musician",4,7,"Driving, exercising, walking",Rarely,Never,Never,Rarely,Never,Never,Always,Sometimes,Often,Never,Rarely,Never,Often,Often,Rarely,Often,contemporary,pop,r&b,hip hop,I listen to a lot less than when I was in school (I listened to music maybe 8 hours a day). ,
644490,39,Item 2,Item 6,Youtube and itunes mostly.,Not a musician but I love all genres of music and could not live life without it.,4,5,"Driving, exercising, cleaning, cooking at work, karaoke often.",Sometimes,Often,Often,Often,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Often,Often,K-pop,R&B,Disco,K-pop,I always find a new band and go crazy listening to their whole catalog.  I also jumped into K-pop and haven't turned away.,"Jungle! Tame Impala! BTS!!! Lounge music, low-fi playlists. "
136759,48,Item 2,Item 4,"Youtube, sometimes car radio",I've toyed around with experimental electronic. None of it was any good.,5,6,doomscrolling,Rarely,Never,Rarely,Never,Never,Never,Sometimes,Often,Often,Often,Rarely,Never,Never,Rarely,Never,Rarely,"breakcore, witch house, wave, lofi, drum and bass, jungle, japanoise, dungeon synth (all of which could technically fit into electronic)",witch house,wave,DnB,"I used to mostly listen to metal, then I got old.",I listen as the mood strikes.
888741,20,Item 2,Item 3,apple music,not a musician,5,5,hanging out with friends,Often,Rarely,Sometimes,Always,Always,Sometimes,Sometimes,Rarely,Always,Sometimes,Sometimes,Rarely,Often,Sometimes,Sometimes,Rarely,no other genre,reggae,electronic,A cappella,it has increased due to new trends in the industry,there is no other
929959,25,Item 2,Item 4,Spotify,I have never performed any music.,3,5,"Exercising, driving, casual",Rarely,Rarely,Sometimes,Sometimes,Rarely,Rarely,Often,Rarely,Rarely,Rarely,Sometimes,Rarely,Always,Often,Rarely,Always,,Pop,R&B,Hiphop,My artists I enjoy listening to have changed. I also listen more based on my mood now.,I like to listen to different genres depending on my intensity of activity.
44945,39,Item 2,Item 4,Spotify or Pandora,"I have zero musical talent, I'm afraid. It's tragic. ",4,6,"driving, working, folding laundry, hanging out with family, exercising",Sometimes,Never,Always,Always,Rarely,Never,Always,Often,Often,Often,Always,Rarely,Always,Always,Often,Sometimes,,Classic Rock,R&B,Folk/Indie,"I've always had a broad interest in music, it hasn't changed much because I still like and listen to all sorts of music.",
825317,20,Item 3,Item 4,Spotify and YouTube,"Flute player from 12-18 in high school band (marching and concert band), community band, and symphony. Alto saxophone player from 14-16 in jazz and pep band in high school. Baritone saxophone player from 16-18 in jazz and pep band in high school.",6,7,"Driving, exercising, working, hanging out with friends, and doing chores.",Sometimes,Never,Rarely,Never,Never,Never,Never,Rarely,Rarely,Never,Rarely,Never,Never,Always,Sometimes,Always,,Indie/folk,Pop,Jazz,I've better found what I like and I've stuck with it rather than just listening to what those around me like.,
476463,59,Item 2,Item 5,you tube,"I play piano and guitar, self taught from the age of 24 up to now, currently playing them all the time. I love listening to music as well.",5,7,"driving, exercising, while at work, and with friends",Rarely,Sometimes,Sometimes,Rarely,Sometimes,Always,Sometimes,Often,Never,Rarely,Sometimes,Never,Rarely,Sometimes,Rarely,Rarely,Christian music of any kind,Country,Christian,Ambient,"I listen to different types of music as I've gotten older, and I listen to it at different times than I use to. ",I enjoy more quiet music now
160159,20,Item 2,Item 5,"Spotify, SoundCloud",I am not a musician.,5,6,"Working out, folding laundry, cooking, and drawing",Never,Never,Sometimes,Never,Never,Never,Often,Rarely,Sometimes,Often,Always,Rarely,Sometimes,Often,Never,Always,"Shoegaze, indie rock, rap, house, metalcore, emo",Alternative rock,Metalcore,Indie Rock,"I used to be very stubborn when it came to listening to music, but now I am very much open to listening to recommendations from friends and family. ","I listen to music that will reflect upon what mood I want to feel, so if I want to get hyped and ready to lift I will put on a heavy metal song; If I'm chilling out and relaxing while drawing, I'll put on something mellow and soothing."
875583,19,Item 2,Item 4,Spotify or YouTube,,5,6,"Playing games, driving",Never,Rarely,Rarely,Never,Never,Never,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Never,Rarely,Often,Never,Often,,Alternative Rock,Pop,Indie,Over time I started listening to heavier music,
959167,38,Item 3,Item 3,Radio and Spotify.,Self-taught bass played from age 15-38 and self-taught pianist age 20-38.,5,6,"Driving, cleaning, and exercising.",Sometimes,Often,Rarely,Sometimes,,Rarely,Often,Sometimes,Often,Rarely,Rarely,Rarely,Sometimes,Often,Often,Often,Funk,Electronic,Funk,Hip-hop,I listen to a much wider variety than I used to. ,I tend to go through periods where I listen to a specific genre exclusively for a periods of time before switching to a different genre.
560951,26,Item 2,Item 3,Spotify,Not a musician,4,7,"Driving, folding laundry, exercising",Never,Never,Never,Never,Never,Sometimes,Rarely,Often,Never,Never,Never,Rarely,Rarely,Rarely,Never,Often,,Pop,Country,Ambient,"Not really, they've remained pretty consistent over time",
623673,40,Item 4,Item 3,"YouTube, Pangora, and Spotify","I studied violin from the ages of 11-18 both in school and through private lessons. I performed with a local chamber quintet for 6 years. I also played with my local community college orchestra (I was not a music or performance major) for two seasons. I am a self-taught acousitc guitarist. I began learning around the age of 14. I was a member of a girl's madrigal choir in high school. In my mid twenties I began singing with several  fold-punk groups and ran a small, but sucessful underground venue. At around 23 I began working at a music store (Guitar Center). I managed that music store for 9 years, during which time I gained a lot of knowledge about music and the industry in general. ",2,5,"cleaning/dishes, playing videogames, crafting",Sometimes,Never,Rarely,Never,Never,Never,Never,Often,Rarely,Never,Sometimes,Never,Never,Sometimes,Often,Never,noise,ambient,jazz,noise,Yes. I tend to listen to music with more complicated instrumentals or sound scapes. When I was younger I paid more attention to lyrics and vocals. ,none. Thank you. This was really interesting.
948793,32,Item 3,Item 3,"Radio, spotify, youtube",I learned piano from my grandmother starting at age 6-13 on and off when I'd come see her. Guitar in school around ages 11-12. I have a guitar and still practice here and thee.,4,4,cooking and cleaning and getting ready for the day. Also driving in the car.,Rarely,Rarely,Often,Often,Sometimes,Often,Often,Unsure,Often,Sometimes,Often,Unsure,Often,Often,Rarely,Often,,rock,country,pop,I used to listen to rap more and no country too much but now I listen to a lot more country and less rap.,I have a few different radio stations I like to listen to with all different types of music that I'm feeling for that day.
927536,26,Item 5,Item 4,"Spotify, radio",I am a classically trained vocalist and flutist. I have played flute since I was 8 years old. I have been singing and performing since 7 years old and studying classically since 11. I have a degree in music performance. ,4,4,"Driving, chores, exercising, working",Always,Sometimes,Often,Never,Often,Rarely,Often,Never,Never,Never,Rarely,Rarely,Rarely,Often,Often,Always,I think most are listed.,Pop,Classical,Jazz,I think they have become more mature. I am looking for sound rather than lyrics. I find myself searching for music with great production or the wall of sound often achieved in classical music over lyrical meaning.,
663231,50,Item 2,Item 2,"radio, pandora, tv radio",I played in high school band. Listen to the radio and music almost daily. I did some singing in school. Played in band post graduation of high school for some parades locally. Helped teach kids to read music and helped learn to play instruments as well. Always had a love for music.,5,2,"drive, clean, computer work, need motivation",Sometimes,Sometimes,Sometimes,Rarely,Rarely,Always,Sometimes,Rarely,Rarely,,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,,country ,classical,soft rock,They have remained fairly the same over the course of my life. ,I like music I can relate to and understand. I choose classical or instrumental if I want some background without words for focusing. Occasionally I will seek a certain type of music based on my mood. I have always enjoyed music and find myself tapping to the beat many times. Enjoyed listening to the kids in band. 
852540,23,Item 2,Item 5,"Spotify, media, other streaming sites, and some owned/downloaded",I'm not a musician. I wish!,5,6,"Almost anything. Working, writing, drawing, gaming, doing chores, showering, taking a walk--all better with music.",Sometimes,Sometimes,Sometimes,Sometimes,Never,Rarely,Sometimes,Sometimes,Often,Often,Often,Rarely,Often,Often,Rarely,Often,Scores/soundtracks,Alt rock,Pop,Electronic,"They haven't changed too much, except for the way I discover some new music to listen to. Nowadays I mostly discover new (or just new to me) music by browsing Spotify. When I was a kid, I largely discovered new music (including my core, favorite artists) by listening to the radio and checking out CDs from my local library. And, of course, by playing video games. Which hasn't changed.","I just about covered it, I think. I love music and listen to it all the time. And I truly listen to a wide variety of things. It's possible for almost any genre to have something pleasant in it."
331869,21,Item 2,Item 6,Youtube,Not a musician,5,6,"Working, driving, or while im on my PC.",Often,Sometimes,Always,Rarely,Rarely,Rarely,Rarely,Rarely,Often,Sometimes,Always,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,,Alternative Rock,EDM,Jazz,"I feel like its stayed the same all I do everyday is listen to the same music while working, sleeping or while im at my PC but I do sometimes try to find new artists listen to different music see if maybe I can enjoy a song from a different genre I try to make different genre playlist and whenever I find a song I enjoy I add it there.",
48901,30,Item 2,Item 6,spotify mostly,"played clarinet in school, marching band, and jazz band 5th-12th grade, took clarinet lessions in college, took voice lessons in college",5,7,"driving, doing things on the computer, chores, exercising",Sometimes,Often,Sometimes,Sometimes,Rarely,Often,Always,Sometimes,Often,Rarely,Sometimes,Always,Always,Sometimes,Often,Always,,Pop,R&B,Hip-Hop,I listen to more Spanish language music now and my tastes are more experimental in sound,
799961,28,Item 2,Item 3,"YouTube, Spotify",I went to music school and played piano for 6 years.,5,6,Wourking out,Rarely,Sometimes,Never,Rarely,Rarely,Never,Sometimes,Sometimes,Unsure,Never,Rarely,Often,Sometimes,Rarely,Often,Sometimes,Not applicable,EDM,Latin,Jazz,Always loved EDM and Jazz consistently throughout years. Found love for Latin Bachata music 8 years ago.,I love to listen to music while working out.
