Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,a cappella,active_choice,activities,age,age_at_event,association,bluegrass,blues,bossa nova,choral,classical,Condition_Id,control,country,dance_remix,description,edm,emot_content,emot_intensity,energetic,experience,factor1_tg1_task0,familiarity,fav_genres,favorite_genres,folk_indie,funk,genres,habit_change,habits_overall,hip hop,important,jazz,listen_time,metal,music_performance,musical theatre,new_mus,new_music,opera,overall,platform,pop,preference,,r_and_b,rap,rock,salsa,self_description,social,unique,version_familiarity,vintage,vivid,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
1,block_1,3,main task 1,9,2,,,,,15,Dancing with someon,,,,,,1,completely deliberate,,,At a school dance,,very positive,extremely,extremely,"Heard it at a school dance, everyone was running to the dancefloor ",,extremely,,,,,,,,,a little,,,,,,,,,,,,love it!,,,,,,,extremely,extremely,,,extremely,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,10,6,,,,,20,Place: Social Media,,,,,,1,completely deliberate,,,Social Media,,very negative,not at all,not at all,Hundreds of videos,,extremely,,,,,,,,,not at all,,,,,,,,,,,,not at all,,,,,,,extremely,not at all,,,extremely,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,11,3,,,,,22,School,,,,,,1,completely deliberate,,,School,,neutral,not at all,not at all,I dont like it but heard it on the radio,,extremely,,,,,,,,,not at all,,,,,,,,,,,,not at all,,,,,,,very,not at all,,,extremely,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,12,1,,,,,20,just me and my mom,,,,,,1,completely deliberate,,,I think I was with my mom.,,neutral,not at all,a little,I mean it don't bother me,,somewhat,,,,,,,,,not at all,,,,,,,,,,,,not at all,,,,,,,a little,not at all,,,extremely,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,13,11,,,,,22,22,,,,,,1,completely deliberate,,,Heard this over the internet,,neutral,not at all,not at all,Not so much favorite or even in the library,,extremely,,,,,,,,,not at all,,,,,,,,,,,,not at all,,,,,,,not at all,not at all,,,extremely,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,14,9,,,,,23,With a friend,,,,,,1,somewhat spontaneous,,,"Hanging with people, I'll never do again",,neutral,not at all,not at all,Not in the library,,a little,,,,,,,,,not at all,,,,,,,,,,,,not at all,,,,,,,a little,not at all,,,somewhat,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,15,20,,,,,23,I want to forget,,,,,,1,neither,,,Regret from letting a friend play a song,,neutral,not at all,not at all,Never want to hear that song,,a little,,,,,,,,,not at all,,,,,,,,,,,,not at all,,,,,,,a little,not at all,,,a little,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,16,24,,,,,24,With a lover,,,,,,1,completely deliberate,,,Jamming with a lover,,neutral,not at all,not at all,In my gf playlist,,extremely,,,,,,,,,not at all,,,,,,,,,,,,somewhat,,,,,,,not at all,not at all,,,very,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,17,8,,,,,22,With my lover,,,,,,1,completely deliberate,,,Jamming in the car,,somewhat positive,somewhat,a little,Its in her playlist,,extremely,,,,,,,,,a little,,,,,,,,,,,,somewhat,,,,,,,a little,somewhat,,,extremely,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,18,25,,,,,24,With my lover,,,,,,1,completely deliberate,,,Private,,neutral,not at all,a little,Heard it in her playlist,,extremely,,,,,,,,,a little,,,,,,,,,,,,somewhat,,,,,,,a little,a little,,,somewhat,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,19,7,,,,,16,No,,,,,,1,completely deliberate,,,In the car,,somewhat positive,somewhat,very,Heard in the car but never will be added to library,,extremely,,,,,,,,,not at all,,,,,,,,,,,,a little,,,,,,,a little,a little,,,extremely,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,20,5,,,,,19,Work,,,,,,1,completely deliberate,,,Work,,neutral,not at all,not at all,im not fond of it,,extremely,,,,,,,,,not at all,,,,,,,,,,,,a little,,,,,,,somewhat,not at all,,,somewhat,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,21,19,,,,,23,Nah,,,,,,1,completely deliberate,,,I skipped it on the radio,,neutral,not at all,not at all,Im not fond of it,,extremely,,,,,,,,,not at all,,,,,,,,,,,,not at all,,,,,,,not at all,not at all,,,very,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,22,22,,,,,24,With a friend,,,,,,1,completely deliberate,,,I was chilling,,neutral,not at all,not at all,Ill pass,,very,,,,,,,,,not at all,,,,,,,,,,,,not at all,,,,,,,not at all,very,,,extremely,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,23,4,,,,,21,Nah,,,,,,1,completely deliberate,,,I was singing this sh*t,,somewhat positive,not at all,very,Love it,,extremely,,,,,,,,,not at all,,,,,,,,,,,,love it!,,,,,,,not at all,not at all,,,extremely,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,24,14,,,,,21,With a friend,,,,,,1,completely deliberate,,,FAST AND FURIOUS RIP PAUL WALKER MAN THE GOAT MAN OMFG I MISS HIM IN MOVIES,,very negative,extremely,extremely,At the movies,,extremely,,,,,,,,,extremely,,,,,,,,,,,,love it!,,,,,,,somewhat,extremely,,,extremely,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,25,12,,,,,21,Nah,,,,,,1,completely deliberate,,,Private,,somewhat negative,not at all,not at all,Heard it,,extremely,,,,,,,,,not at all,,,,,,,,,,,,not at all,,,,,,,not at all,not at all,,,somewhat,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,4,break,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,5,main task 2,1,18,,,,,22,na,,,,,,1,completely deliberate,,,private,,neutral,not at all,not at all,radio,,extremely,,,,,,,,,not at all,,,,,,,,,,,,not at all,,,,,,,not at all,not at all,,,very,no,,,,597822,group_1,684469,session_1,1,2023-02-08T16:53:30.000Z,,,,not measured,,TRUE
1,block_1,1,consent,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,2,instructions,1,1,,,,,20,Reminds me of my early 20's,,,,,,1,completely spontaneous,,,Driving around after buying my first car,,option_3,option_1,option_1,I only listened to it when it was playing on the radio,,option_4,,,,,,,,,option_0,,,,,,,,,,,,option_1,,,,,,,option_0,option_0,,,a little,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,1,7,,,,,,Early 20's,,,,,,1,,,,,,,,,I recall hearing it on the radio sometimes but I didn't really care for it.,,somewhat,,,,,,,,,,,,,,,,,,,,,not at all,,,,,,,,,,,,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,2,18,,,,,,No,,,,,,1,,,,,,,,,I've heard clips of it in videos on youtube or other video sites.,,somewhat,,,,,,,,,,,,,,,,,,,,,a little,,,,,,,,,,,,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,3,22,,,,,,I've never heard it.,,,,,,1,,,,,,,,,I've never heard this song or at least I don't remember ever hearing it.,,not at all,,,,,,,,,,,,,,,,,,,,,not at all,,,,,,,,,,,,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,4,1,,,,,24,No associations,,,,,,1,somewhat spontaneous,,,I was at a friend's wedding and this song played during the party.,,somewhat positive,a little,somewhat,radio,,a little,,,,,,,,,a little,,,,,,,,,,,,a little,,,,,,,very,not at all,,,a little,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,5,25,,,,,,No,,,,,,1,,,,,,,,,I've never heard the song before,,not at all,,,,,,,,,,,,,,,,,,,,,not at all,,,,,,,,,,,,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,6,3,,,,,15,No,,,,,,1,completely spontaneous,,,Walking home from school school and listening to bad music playlists on my mp3 player.,,neutral,not at all,somewhat,I'm familiar with the original song and heard if on the radio a few times.,,somewhat,,,,,,,,,not at all,,,,,,,,,,,,a little,,,,,,,not at all,not at all,,,somewhat,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,7,21,,,,,,No,,,,,,1,,,,,,,,,I've never heard it.,,not at all,,,,,,,,,,,,,,,,,,,,,not at all,,,,,,,,,,,,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,8,12,,,,,,No associations,,,,,,1,,,,,,,,,Never heard the song before,,not at all,,,,,,,,,,,,,,,,,,,,,not at all,,,,,,,,,,,,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,9,19,,,,,12,I can't remember the last time I heard this song.,,,,,,1,completely spontaneous,,,Driving as a passenger to a family gathering.,,neutral,not at all,not at all,I might have heard it play on the radio a few times but I barely recognize it.,,a little,,,,,,,,,not at all,,,,,,,,,,,,not at all,,,,,,,somewhat,not at all,,,a little,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,10,11,,,,,23,I associate this song with my mid-twenties,,,,,,1,somewhat spontaneous,,,I was visiting some old friends at their new home.,,somewhat positive,a little,somewhat,I've probably heard it 100 times on the radio.,,very,,,,,,,,,somewhat,,,,,,,,,,,,somewhat,,,,,,,very,not at all,,,a little,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,11,10,,,,,21,This song was from a brief time I went out clubbing/bar-hopping,,,,,,1,completely spontaneous,,,Hanging out with some friends at a hookah bar.,,very positive,somewhat,very,This was one of those songs that got stuck in my head while driving.,,extremely,,,,,,,,,a little,,,,,,,,,,,, a lot,,,,,,,extremely,somewhat,,,very,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,12,14,,,,,,No,,,,,,1,,,,,,,,,I've know of it because of the Fast and Furious meme,,a little,,,,,,,,,,,,,,,,,,,,,a little,,,,,,,,,,,,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,13,4,,,,,22,This song was released at a time I started socializing more in my early 20's,,,,,,1,completely spontaneous,,,Hanging out with a specific friend and going to Carl's Jr for burgers,,somewhat positive,somewhat,somewhat,"Heard it in bars, on the radio, etc.",,extremely,,,,,,,,,not at all,,,,,,,,,,,,a little,,,,,,,a little,not at all,,,somewhat,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,14,8,,,,,,No,,,,,,1,,,,,,,,,It sounds vaguely familiar to me but I'm not sure where I've heard it.,,a little,,,,,,,,,,,,,,,,,,,,,not at all,,,,,,,,,,,,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,15,5,,,,,,Late teens when I started going to the gym,,,,,,1,,,,,,,,,"I heard it in on the radio, and in stores mostly.",,extremely,,,,,,,,,,,,,,,,,,,,,a little,,,,,,,,,,,,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,16,6,,,,,18,No specific association,,,,,,1,completely spontaneous,,,Playing video games at a friend's house on a friday after school.,,somewhat positive,not at all,very,I must have heard it on spotify when it was popular.,,very,,,,,,,,,a little,,,,,,,,,,,,not at all,,,,,,,very,not at all,,,a little,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,17,9,,,,,,No,,,,,,1,,,,,,,,,I've never heard it.,,not at all,,,,,,,,,,,,,,,,,,,,,a little,,,,,,,,,,,,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,18,13,,,,,,Nothing comes to mind.,,,,,,1,,,,,,,,,I must have heard this song almost exclusively at parties when I was going out a lot in 2014.,,very,,,,,,,,,,,,,,,,,,,,,somewhat,,,,,,,,,,,,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,19,16,,,,,,No associations,,,,,,1,,,,,,,,,I've never heard it.,,not at all,,,,,,,,,,,,,,,,,,,,,not at all,,,,,,,,,,,,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,20,15,,,,,,No,,,,,,1,,,,,,,,,It sound vaguely familiar but I cant place it.,,not at all,,,,,,,,,,,,,,,,,,,,,not at all,,,,,,,,,,,,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,21,23,,,,,,no association,,,,,,1,,,,,,,,,I must have heard it on the radio once.,,a little,,,,,,,,,,,,,,,,,,,,,a little,,,,,,,,,,,,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,22,24,,,,,18,No,,,,,,1,somewhat deliberate,,,"The first time I kissed a girl, oddly enough.",,neutral,not at all,very,never heard the song before.,,not at all,,,,,,,,,somewhat,,,,,,,,,,,,not at all,,,,,,,very,not at all,,,not at all,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,23,2,,,,,,I heard a lot when I was in college,,,,,,1,,,,,,,,,It played on the radio everywhere my freshman year in college,,very,,,,,,,,,,,,,,,,,,,,,a little,,,,,,,,,,,,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,24,17,,,,,22,No,,,,,,1,somewhat spontaneous,,,The first and only time I was fired from a job,,somewhat negative,a little,a little,I don't know the song,,not at all,,,,,,,,,somewhat,,,,,,,,,,,,not at all,,,,,,,a little,somewhat,,,very,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,25,20,,,,,,No,,,,,,1,,,,,,,,,I've never heard it,,not at all,,,,,,,,,,,,,,,,,,,,,not at all,,,,,,,,,,,,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,4,break,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,597836,group_1,684483,session_1,1,2023-02-08T17:10:01.000Z,,,,not measured,,TRUE
1,block_1,1,consent,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2023-02-08T17:23:44.000Z,597854,group_1,684501,session_1,1,2023-02-08T17:22:58.000Z,,,,not measured,,TRUE
1,block_1,1,consent,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,597856,group_1,684503,session_1,1,2023-02-08T17:24:19.000Z,,,,not measured,,TRUE
1,block_1,2,instructions,1,1,,,,,22,,,,,,,1,somewhat deliberate,,,Sitting with friends at a dance party and a cute guy came and pulled me up to dance with him,,option_4,option_1,option_3,I've heard it on the radio in the past but not recently,,option_3,,,,,,,,,option_1,,,,,,,,,,,,option_2,,,,,,,option_4,option_2,,,a little,no,,,,597856,group_1,684503,session_1,1,2023-02-08T17:24:19.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,1,15,,,,,,No,,,,,,1,,,,,,,,,I used to hear it on the radio a lot ,,very,,,,,,,,,,,,,,,,,,,,,somewhat,,,,,,,,,,,,no,,,,597856,group_1,684503,session_1,1,2023-02-08T17:24:19.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,2,1,,,,,20,No,,,,,,1,completely spontaneous,,,"I was at my parent's house and I really liked this song so I spent hours learning it, singing it and recording it on my phone",,somewhat positive,a little,somewhat,I know it's Leona Lewis and I listened to it a lot the year it came out but haven't since.,,very,,,,,,,,,a little,,,,,,,,,,,, a lot,,,,,,,not at all,a little,,,a little,no,,,,597856,group_1,684503,session_1,1,2023-02-08T17:24:19.000Z,,,,not measured,,TRUE
1,block_1,1,consent,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,597858,group_1,684505,session_1,1,2023-02-08T17:30:40.000Z,,,,not measured,,TRUE
1,block_1,2,instructions,1,1,,,,,11,12,,,,,,1,somewhat spontaneous,,,Middle school dance with my crush ,,option_4,option_3,option_3,heard the song during middle school dance,,option_2,,,,,,,,,option_4,,,,,,,,,,,,option_2,,,,,,,option_3,option_4,,,extremely,no,,,,597858,group_1,684505,session_1,1,2023-02-08T17:30:40.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,1,16,,,,,14,19,,,,,,1,completely spontaneous,,,The song was played during my younger cousins graduation party,,very positive,somewhat,very,heard the song during a graduation party,,extremely,,,,,,,,,somewhat,,,,,,,,,,,,somewhat,,,,,,,very,somewhat,,,extremely,no,,,,597858,group_1,684505,session_1,1,2023-02-08T17:30:40.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,2,11,,,,,16,17-19,,,,,,1,somewhat deliberate,,,heard the song on a drive home during a not so great day,,very positive,somewhat,a little,First time hearing the song was on a drive home during a bad day of school,,extremely,,,,,,,,,a little,,,,,,,,,,,, a lot,,,,,,,not at all,somewhat,,,somewhat,no,,,,597858,group_1,684505,session_1,1,2023-02-08T17:30:40.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,3,2,,,,,11,13-Dec,,,,,,1,completely spontaneous,,,First girlfriend/crush favorite song,,very positive,extremely,extremely,My girlfriend asked me to listen to this song as it was her favorite,,extremely,,,,,,,,,extremely,,,,,,,,,,,, a lot,,,,,,,somewhat,very,,,extremely,no,,,,597858,group_1,684505,session_1,1,2023-02-08T17:30:40.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,4,15,,,,,14,high school age 14-17,,,,,,1,somewhat deliberate,,,I just remember listening to this song constantly on the radio,,neutral,a little,a little,Song always came on radio ,,somewhat,,,,,,,,,a little,,,,,,,,,,,,somewhat,,,,,,,not at all,not at all,,,a little,no,,,,597858,group_1,684505,session_1,1,2023-02-08T17:30:40.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,5,13,,,,,17,age 17-25,,,,,,1,completely spontaneous,,,This song is a required road trip song for my family,,very positive,extremely,extremely,Always play this song during road trips and vacations,,extremely,,,,,,,,,extremely,,,,,,,,,,,,love it!,,,,,,,very,a little,,,extremely,no,,,,597858,group_1,684505,session_1,1,2023-02-08T17:30:40.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,6,21,,,,,,not sure i think 16-18,,,,,,1,,,,,,,,,"Don't recall when, but I remember hearing the song before",,a little,,,,,,,,,,,,,,,,,,,,,a little,,,,,,,,,,,,no,,,,597858,group_1,684505,session_1,1,2023-02-08T17:30:40.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,7,4,,,,,16,14-16,,,,,,1,somewhat spontaneous,,,"I remember hearing it during a movie, but not sure which one",,neutral,a little,a little,I don't vividly remember but during a movie or end credits of a movie,,a little,,,,,,,,,not at all,,,,,,,,,,,,somewhat,,,,,,,a little,a little,,,somewhat,no,,,,597858,group_1,684505,session_1,1,2023-02-08T17:30:40.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,8,8,,,,,,Not sure,,,,,,1,,,,,,,,,Not sure,,a little,,,,,,,,,,,,,,,,,,,,,somewhat,,,,,,,,,,,,no,,,,597858,group_1,684505,session_1,1,2023-02-08T17:30:40.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,9,7,,,,,18,Yes with my younger sister age 18,,,,,,1,completely spontaneous,,,I was playing just dance with my younger sister,,very positive,very,extremely,I remember playing Just dance with my sister and playing a level to this song,,very,,,,,,,,,extremely,,,,,,,,,,,, a lot,,,,,,,very,somewhat,,,extremely,no,,,,597858,group_1,684505,session_1,1,2023-02-08T17:30:40.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,10,23,,,,,,22,,,,,,1,,,,,,,,,I remember hearing this song in a youtube video and that's how I learned about it,,extremely,,,,,,,,,,,,,,,,,,,,, a lot,,,,,,,,,,,,no,,,,597858,group_1,684505,session_1,1,2023-02-08T17:30:40.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,11,6,,,,,17,17,,,,,,1,somewhat deliberate,,,"I remember hearing a parody of the song in a youtube video, then went to listen to the real song",,somewhat positive,a little,a little,"First video I watched of a certain youtuber, then listening to the real song",,a little,,,,,,,,,not at all,,,,,,,,,,,,a little,,,,,,,not at all,somewhat,,,a little,no,,,,597858,group_1,684505,session_1,1,2023-02-08T17:30:40.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,12,10,,,,,,never heard it,,,,,,1,,,,,,,,,never heard it ,,not at all,,,,,,,,,,,,,,,,,,,,,a little,,,,,,,,,,,,no,,,,597858,group_1,684505,session_1,1,2023-02-08T17:30:40.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,13,9,,,,,,15,,,,,,1,,,,,,,,,"Only heard it a few times, but don't remember when",,a little,,,,,,,,,,,,,,,,,,,,,a little,,,,,,,,,,,,no,,,,597858,group_1,684505,session_1,1,2023-02-08T17:30:40.000Z,,,,not measured,,TRUE
1,block_1,3,main task 1,14,25,,,,,,Never hear it ,,,,,,1,,,,,,,,,Never hear it ,,not at all,,,,,,,,,,,,,,,,,,,,,a little,,,,,,,,,,,,no,,,,597858,group_1,684505,session_1,1,2023-02-08T17:30:40.000Z,,,,not measured,,TRUE
